coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +50.0°C  (high = +80.0°C, crit = +100.0°C)
Core 0:        +37.0°C  (high = +80.0°C, crit = +100.0°C)
Core 1:        +35.0°C  (high = +80.0°C, crit = +100.0°C)
Core 2:        +34.0°C  (high = +80.0°C, crit = +100.0°C)
Core 3:        +34.0°C  (high = +80.0°C, crit = +100.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +27.8°C  

DC power output channel is 1
delay_start 0.000100
frequency 3.2GHz
retries 5
pre_volt 0.0470
pre_width  0.000100
fault_volt 0.0670
fault_width 0.000500
target_func_id 0
max_iterations 100000000
thread 1
Step Count: 200
------Start glitching------
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0670, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0680, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0690, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0700, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0710, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0720, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0730, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0740, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0750, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0760, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0770, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0780, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0790, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0800, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0810, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0820, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0830, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0840, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0850, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0860, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0870, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0470, pre_width 0.000100, fault_volt 0.0880, fault_width 0.000500, delay 0.000100, 
