coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +54.0°C  (high = +80.0°C, crit = +100.0°C)
Core 0:        +42.0°C  (high = +80.0°C, crit = +100.0°C)
Core 1:        +39.0°C  (high = +80.0°C, crit = +100.0°C)
Core 2:        +41.0°C  (high = +80.0°C, crit = +100.0°C)
Core 3:        +38.0°C  (high = +80.0°C, crit = +100.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +27.8°C  

DC power output channel is 1
delay_start 0.000100
frequency 3.8GHz
retries 5
pre_volt 0.0220
pre_width  0.000100
fault_volt 0.0420
fault_width 0.000500
target_func_id 0
max_iterations 100000000
thread 1
Step Count: 200
------Start glitching------
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0420, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0430, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0440, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0450, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0460, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0470, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0480, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0490, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0500, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0510, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0520, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0530, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0540, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0550, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0560, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0570, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0580, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0590, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0600, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0610, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0620, fault_width 0.000500, delay 0.000100, 
pre_volt 0.0220, pre_width 0.000100, fault_volt 0.0630, fault_width 0.000500, delay 0.000100, 
